filename,tags
0.jpg,"Building, interior, school, hallways, abandoned, wrecked"
1.jpg,"Building, exterior, rural, residential, farmhouse, secluded, nature"
10.jpg,"Interior, building, urban, office, abandoned"
11.jpg,"Exterior, building, rural, house, houses, residential"
12.jpg,"Interior, building, house, rural, farm, abandoned"
13.jpg,"Exterior, building, urban, office, company building, street"
14.jpg,"Gate, exterior, pathway, bridge, abandonedunlocked"
15.jpg,"Interior, building, rural, abandoned"
16.jpg,"Exterior, gate, locked"
17.jpg,"Interior, building, urban, abandoned, shopping mall, multi-floor, abandoned, stairways"
18.jpg,"Building, interior, hallway, wrecked, abandoned, windows"
19.jpg,"Building, interior, house, residential, home, rural"
2.jpg,"Building, interior, home, residential, table, chairs, rural"
20.jpg,"Urban, exterior, gate, wasteland, abandoned, trash"
21.jpg,"Exterior, campsite, tent, nature, campfire, residential"
22.jpg,"Urban, exterior, gate, unlocked, pathway, road"
23.jpg,"Building, interior, doorway, unlocked, open door, exit"
24.jpg,"Building, exterior, gate, locked, urban, apartment building, residential"
25.jpg,"Building, exterior, parkiing lot, office, warehouse"
27.jpg,"Rural, exterior, road, residential, houses, neighborhood"
28.jpg,"Urban, building, interior, shopping mall, abandoned, multi-floor, stairways"
29.jpg,"Exterior, bridge, river, nature, wilderness, rural, industrial"
3.jpg,"Building, exterior, urban, huge building, bank, political building, cars, traffic"
30.jpg,"Building, interior, school, abandoned, hallway"
31.jpg,"Building, exterior, gate, locked, trash, nature, rural"
32.jpg,"Building, exterior, residential, house, farmhouse, dirt road, nature, countryside"
33.jpg,"Rural, exterior, nature, forest, pathway"
34.jpg,"Interior, building, urban, office, hallway, doors, abandoned"
35.jpg,"Interior, building, rural, hallway, abandoned"
36.jpg,"Building, interior, staircase, doorways, wreckage, trash, abandoned"
37.jpg,"Urban, exterior, gate, unlocked, factory, industrial"
38.jpg,"Exterior, gate, locked, wire fence"
4.jpg,"Building, interior, abandoned, wrecked, rural"
5.jpg,"Exterior, gas station, rural, countryside, gas pumps, power line"
6.jpg,"Building, exterior, office, company building, urban"
7.jpg,"Exterior, residential, house, countryside, home, farmhouse"
8.jpg,"Building, exterior, parking lot, warehouse, office"
9.jpg,"Building, interior, urban, rural, abandoned, wrecked"
